tranId      account      type      amount      dateTime      remark
1      555001198232      Credit      12000      26-07-2018 11:50:12      NULL
2      555001132898      Debit      2000      26-07-2018 12:01:48      NULL
3      555001198232      Credit      758      26-07-2018 14:10:18      tr1
4      555001132898      Debit      758      26-07-2018 14:10:18      tr1
5      555001198232      Credit      50      30-07-2018 18:58:48      tr2
6      555001132898      Debit      50      30-07-2018 18:58:48      tr2
7      555001198232      Debit      100      04-08-2018 17:20:19      NULL
8      555001198232      Debit      100      04-08-2018 17:27:24      NULL
9      555001132898      Credit      120      04-08-2018 17:35:23      NULL
10      555001198232      Debit      150      04-08-2018 17:36:12      NULL
11      555001132898      Credit      200      04-08-2018 21:45:09      tr3
12      555001156325      Debit      200      04-08-2018 21:45:09      tr3
13      555001132898      Credit      50      04-08-2018 21:51:09      tr4
14      555001198232      Debit      50      04-08-2018 21:51:09      tr4
15      555001132898      Credit      2      04-08-2018 21:51:57      tr5
16      555001198232      Debit      2      04-08-2018 21:51:57      tr5
17      555001132898      Credit      10      04-08-2018 21:53:46      tr6
18      555001156325      Debit      10      04-08-2018 21:53:46      tr6
19      555001132898      Credit      1      04-08-2018 21:54:11      tr7
20      555001156325      Debit      1      04-08-2018 21:54:11      tr7
21      555001132898      Credit      1      04-08-2018 21:54:23      tr8
22      555001156325      Debit      1      04-08-2018 21:54:23      tr8
23      555001132898      Credit      1      04-08-2018 21:54:55      tr9
24      555001156325      Debit      1      04-08-2018 21:54:55      tr9
25      555001120419      Debit      800      07-08-2018 23:14:34      NULL
26      555001120419      Credit      500      07-08-2018 23:16:32      NULL
27      555001120419      Credit      90      07-08-2018 23:18:24      tr10
28      555001134726      Debit      90      07-08-2018 23:18:24      tr10
29      555001132898      Credit      100      09-08-2018 16:59:00      NULL
30      555001132898      Debit      7500      09-08-2018 16:59:51      NULL
31      555001133320      Credit      500      09-08-2018 22:51:18      tr11
32      555001120419      Debit      500      09-08-2018 22:51:18      tr11
33      555001133320      Debit      1000      09-08-2018 22:53:16      NULL
34      555001133320      Credit      500      09-08-2018 22:53:46      NULL
