transferId      fromAc      toAc      amount      dateTime
tr1      555001198232      555001132898      758      26-07-2018 14:10:18
tr2      555001198232      555001132898      50      30-07-2018 18:58:48
tr3      555001132898      555001156325      200      04-08-2018 21:45:09
tr4      555001132898      555001198232      50      04-08-2018 21:51:09
tr5      555001132898      555001198232      2      04-08-2018 21:51:57
tr6      555001132898      555001156325      10      04-08-2018 21:53:46
tr7      555001132898      555001156325      1      04-08-2018 21:54:11
tr8      555001132898      555001156325      1      04-08-2018 21:54:23
tr9      555001132898      555001156325      1      04-08-2018 21:54:55
tr10      555001120419      555001134726      90      07-08-2018 23:18:24
tr11      555001133320      555001120419      500      09-08-2018 22:51:18
